Fecha,Ventas
2015-01-01,156376.98
2015-01-02,56446.479999999996
2015-01-03,1630.0
2015-01-05,15480.56
2015-01-06,2185.0
2015-01-07,668762.66
2015-01-08,331066.72
2015-01-09,117437.74
2015-01-10,174518.58000000002
2015-01-12,409122.8
2015-01-13,118127.82
2015-01-14,82109.72
2015-01-15,1047888.54
2015-01-16,185466.24
2015-01-17,60676.36
2015-01-19,169137.84
2015-01-20,80708.08
2015-01-21,154396.16
2015-01-22,1138242.0
2015-01-23,2244.0
2015-01-24,37169.6
2015-01-26,48967.8
2015-01-27,126358.56
2015-01-28,48085.46
2015-01-29,60485.34
2015-01-30,50723.48
2015-01-31,58362.0
2015-02-02,344357.12
2015-02-03,487570.32
2015-02-04,23952.68
2015-02-05,59919.04
2015-02-06,198517.44
2015-02-07,61338.48
2015-02-09,99379.0
2015-02-10,4947.96
2015-02-11,23718.0
2015-02-12,213667.12000000002
2015-02-13,100241.12
2015-02-14,63148.3
2015-02-16,99536.68
2015-02-17,115188.06
2015-02-18,30862.44
2015-02-19,230272.0
2015-02-20,147748.74
2015-02-21,909273.2000000001
2015-02-23,117155.44
2015-02-24,73722.24
2015-02-25,156660.88
2015-02-26,42165.76
2015-02-27,157275.91999999998
2015-02-28,40917.92
2015-03-02,158993.0
2015-03-03,51486.00000000001
2015-03-04,28921.620000000003
2015-03-05,39978.76
2015-03-06,108483.04000000001
2015-03-07,125576.48
2015-03-09,147119.13999999998
2015-03-10,249317.0
2015-03-11,833659.2799999999
2015-03-12,30090.52
2015-03-13,126545.56
2015-03-14,67092.9
2015-03-16,36995.76
2015-03-17,663405.72
2015-03-18,349539.36
2015-03-19,261804.0
2015-03-20,17359.3
2015-03-21,34337.659999999996
2015-03-23,403074.26
2015-03-24,69573.81999999999
2015-03-25,48798.4
2015-03-26,7124.0
2015-03-27,66988.92
2015-03-28,30339.02
2015-03-30,161125.8
2015-03-31,301613.42
2015-04-01,58618.72
2015-04-02,107420.36
2015-04-03,304004.46
2015-04-04,208402.1
2015-04-06,121746.06
2015-04-07,32246.72
2015-04-08,158018.0
2015-04-09,22100.8
2015-04-10,96213.23999999999
2015-04-11,93686.14
2015-04-13,30813.739999999998
2015-04-14,213631.0
2015-04-15,31198.72
2015-04-16,22462.78
2015-04-17,113531.56
2015-04-18,113298.52
2015-04-20,37849.56
2015-04-21,122987.0
2015-04-22,45468.1
2015-04-23,62629.72
2015-04-24,46842.12
2015-04-25,68392.7
2015-04-27,199.0
2015-04-28,2339.3199999999997
2015-04-29,153601.8
2015-04-30,701989.8
2015-05-01,35044.64
2015-05-02,36309.9
2015-05-04,79906.0
2015-05-05,194568.94
2015-05-06,323179.6
2015-05-07,643747.2200000001
2015-05-08,702218.6
2015-05-09,417713.36000000004
2015-05-11,44827.520000000004
2015-05-12,102141.06
2015-05-13,131321.72
2015-05-14,740608.0
2015-05-15,38310.2
2015-05-16,69085.88
2015-05-18,185716.24
2015-05-19,11720.24
2015-05-20,80086.44
2015-05-21,20173.36
2015-05-22,96153.5
2015-05-23,40980.68
2015-05-25,69637.88
2015-05-26,33655.44
2015-05-27,50407.74
2015-05-28,100001.64
2015-05-29,293222.34
2015-05-30,84846.48
2015-06-01,82074.16
2015-06-02,69801.0
2015-06-03,9837.3
2015-06-04,5131.26
2015-06-05,5596.56
2015-06-06,46114.51
2015-06-08,215396.30000000002
2015-06-09,39691.66
2015-06-10,61521.58
2015-06-11,21311.38
2015-06-12,410857.74
2015-06-13,332052.62
2015-06-15,105268.58
2015-06-16,92608.16
2015-06-17,66938.12
2015-06-18,246441.24000000002
2015-06-19,458564.77999999997
2015-06-20,24130.0
2015-06-22,243282.02
2015-06-23,13106.0
2015-06-24,25828.28
2015-06-25,776451.0
2015-06-26,84732.95999999999
2015-06-27,52604.32
2015-06-29,125622.56
2015-06-30,343071.12
2015-07-01,210540.63999999998
2015-07-02,274223.16000000003
2015-07-03,222022.22
2015-07-04,94853.26000000001
2015-07-06,38881.44
2015-07-07,630767.9199999999
2015-07-08,60024.56
2015-07-09,102039.0
2015-07-10,110842.88
2015-07-11,135181.0
2015-07-13,46839.5
2015-07-14,2145008.22
2015-07-15,51319259.18
2015-07-16,49750.04
2015-07-17,58871.479999999996
2015-07-18,13207.18
2015-07-20,570822.88
2015-07-21,242465.09999999998
2015-07-22,90755.3
2015-07-23,53684.08
2015-07-24,86289.95999999999
2015-07-25,5014245.88
2015-07-27,96020.3
2015-07-28,128693.23
2015-07-29,79129.68
2015-07-30,5771.88
2015-07-31,39588.520000000004
2015-08-01,34727.9
2015-08-03,9113.36
2015-08-04,607693.78
2015-08-05,74356.3
2015-08-06,537572.94
2015-08-07,67753.0
2015-08-08,179222.04
2015-08-10,1430683.02
2015-08-11,217408.52000000002
2015-08-12,53033.6
2015-08-13,263344.77999999997
2015-08-14,31834.78
2015-08-15,53663.2
2015-08-17,117405.4
2015-08-18,26816.0
2015-08-19,29052.5
2015-08-20,5446.1
2015-08-21,34914.8
2015-08-22,178000.89
2015-08-24,272599.66
2015-08-25,16213.24
2015-08-26,228362.06
2015-08-27,174940.7
2015-08-28,304185.72000000003
2015-08-29,52828.86
2015-08-31,715108.9600000001
2015-09-01,4236.0
2015-09-02,235530.88
2015-09-03,55761.68
2015-09-04,36249.86
2015-09-05,3522.0
2015-09-07,10422.96
2015-09-08,36229.2
2015-09-09,229788.31999999998
2015-09-10,62870.4
2015-09-11,36777.8
2015-09-12,31384.68
2015-09-14,65672.92
2015-09-15,74248.55
2015-09-16,226783.44
2015-09-17,52703.8
2015-09-18,80125.34
2015-09-19,41966.56
2015-09-21,82356.7
2015-09-22,34610.58
2015-09-23,20278.92
2015-09-24,1686.0
2015-09-25,19555.02
2015-09-26,10860.0
2015-09-28,28536.96
2015-09-29,151487.04
2015-09-30,69491.36
2015-10-01,110692.8
2015-10-02,31903.4
2015-10-03,49774.020000000004
2015-10-05,137341.12
2015-10-06,80015.0
2015-10-07,48157.68
2015-10-08,164241.04
2015-10-09,140282.22
2015-10-10,603961.38
2015-10-12,44804.0
2015-10-13,49422.54
2015-10-14,98590.0
2015-10-15,25549.92
2015-10-16,95667.84
2015-10-17,150417.55
2015-10-19,538840.32
2015-10-20,26349.8
2015-10-21,316713.56
2015-10-22,43206.8
2015-10-23,66785.04000000001
2015-10-24,135149.72
2015-10-26,12798.3
2015-10-27,88955.15999999999
2015-10-28,157310.06
2015-10-29,67855.6
2015-10-30,42041.64
2015-10-31,8286.0
2015-11-02,22665.6
2015-11-03,32576.48
2015-11-04,87614.72
2015-11-05,16371.96
2015-11-06,72393.1
2015-11-07,124877.26000000001
2015-11-09,54744.84
2015-11-10,273315.13
2015-11-11,128818.38
2015-11-12,212899.66
2015-11-13,43938.520000000004
2015-11-14,86321.04000000001
2015-11-16,52616.94
2015-11-17,180700.66
2015-11-18,155044.0
2015-11-19,342517.83999999997
2015-11-20,6954.0
2015-11-21,11295.460000000001
2015-11-23,59226.22
2015-11-24,79206.62
2015-11-25,43239.96
2015-11-26,26331.0
2015-11-27,37426.7
2015-11-28,417132.66
2015-11-30,114007.04000000001
2015-12-01,332126.46
2015-12-02,189040.84
2015-12-03,26493.5
2015-12-04,57972.54
2015-12-05,79020.04
2015-12-07,178597.02
2015-12-08,15701.0
2015-12-09,7581.5199999999995
2015-12-10,36479.56
2015-12-11,26335.940000000002
2015-12-12,118295.84
2015-12-14,89724.0
2015-12-15,31090.52
2015-12-16,91329.26000000001
2015-12-17,104073.12
2015-12-18,210322.63999999998
2015-12-19,77439.42
2015-12-21,52083.38
2015-12-22,39142.479999999996
2015-12-23,36313.74
2015-12-24,166739.76
2015-12-25,109755.22
2015-12-26,22917.0
2015-12-28,1646.48
2015-12-29,48357.5
2015-12-30,32155.72
2015-12-31,54983.5
